web_name,team_short,position,squad_slot,is_starting,is_captain,is_vice_captain,multiplier,gw_points_raw,gw_points_scored,current_price,purchase_price,status,chance_of_playing_next_round,news
Raya,ARS,GKP,1,True,False,False,1,6,6,6.0,,a,,
Gabriel,ARS,DEF,2,True,False,False,1,5,5,8.0,,a,,
Thomas,COV,DEF,3,True,False,False,1,3,3,4.0,,a,,
van Ewijk,COV,DEF,4,True,False,False,1,1,1,4.0,,a,,
Maguire,MUN,DEF,5,True,False,False,1,1,1,5.0,,a,,
Semenyo,MCI,MID,6,True,False,False,1,2,2,8.5,,a,,
B.Fernandes,MUN,MID,7,True,False,True,1,2,2,12.0,,a,,
Tzolis,ARS,MID,8,True,False,False,1,6,6,6.5,,a,,
Slater,HUL,MID,9,True,False,False,1,6,6,4.5,,a,,
João Pedro,CHE,FWD,10,True,False,False,1,11,11,7.5,,a,,
Haaland,MCI,FWD,11,True,True,False,2,2,4,15.5,,a,,
Forster,BOU,GKP,12,False,False,False,0,0,0,4.0,,a,,
Pedro Porro,TOT,DEF,13,False,False,False,0,0,0,5.5,,a,100,
Hughes,CRY,MID,14,False,False,False,0,0,0,4.5,,a,,
Kusi-Asare,FUL,FWD,15,False,False,False,0,0,0,4.5,,a,,
